"Time","iowait","irq","nice","softirq","steal","system","user","Used","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","timestamp"
"2023-04-02 11:23:45","0%","0%","0%","3.80%","3.30%","5.10%","8.80%","340 MiB","1.75 GB/s","0 kB/s","22.4 kB/s","1.16 GB/s","0 kB/s","1.76 GB/s","1680409425000"
"2023-04-02 11:23:50","0%","0%","0%","3.80%","3.30%","5.10%","8.80%","340 MiB","1.75 GB/s","0 kB/s","22.4 kB/s","1.16 GB/s","0 kB/s","1.76 GB/s","1680409430000"
"2023-04-02 11:23:55","0%","0%","0%","4.10%","3.20%","4.80%","11.0%","342 MiB","2.71 GB/s","0 kB/s","22.8 kB/s","1.72 GB/s","0 kB/s","2.72 GB/s","1680409435000"
"2023-04-02 11:24:00","0%","0%","0%","4.10%","3.20%","4.80%","11.0%","342 MiB","2.71 GB/s","0 kB/s","22.8 kB/s","1.72 GB/s","0 kB/s","2.72 GB/s","1680409440000"
"2023-04-02 11:24:05","0%","0%","0%","3.00%","3.30%","3.50%","10.2%","336 MiB","2.71 GB/s","0 kB/s","11.6 kB/s","1.70 GB/s","0 kB/s","2.72 GB/s","1680409445000"
"2023-04-02 11:24:10","0%","0%","0%","3.00%","3.30%","3.50%","10.2%","336 MiB","2.71 GB/s","0 kB/s","11.6 kB/s","1.70 GB/s","0 kB/s","2.72 GB/s","1680409450000"
"2023-04-02 11:24:15","0%","0%","0%","2.60%","2.30%","2.80%","7.60%","336 MiB","1.71 GB/s","0 kB/s","56.5 kB/s","1.10 GB/s","0 kB/s","1.72 GB/s","1680409455000"
"2023-04-02 11:24:20","0%","0%","0%","2.60%","2.30%","2.80%","7.60%","336 MiB","1.71 GB/s","0 kB/s","56.5 kB/s","1.10 GB/s","0 kB/s","1.72 GB/s","1680409460000"
"2023-04-02 11:24:25","0%","0%","0%","4.20%","4.60%","4.40%","11.6%","336 MiB","2.60 GB/s","0 kB/s","22.4 kB/s","1.65 GB/s","0 kB/s","2.60 GB/s","1680409465000"
"2023-04-02 11:24:30","0%","0%","0%","4.20%","4.60%","4.40%","11.6%","336 MiB","2.60 GB/s","0 kB/s","22.4 kB/s","1.65 GB/s","0 kB/s","2.60 GB/s","1680409470000"
