"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
2023-04-02 12:14:00,4.13 GB/s,0 kB/s,118 kB/s,2.60 GB/s,0 kB/s,4.14 GB/s,2.60 GB/s,0 kB/s,69.8 kB/s,4.14 GB/s,0 kB/s,2.60 GB/s
2023-04-02 12:14:10,3.48 GB/s,0 kB/s,16.8 kB/s,2.21 GB/s,0 kB/s,3.49 GB/s,2.21 GB/s,0 kB/s,10.8 kB/s,3.49 GB/s,0 kB/s,2.21 GB/s
2023-04-02 12:14:20,4.52 GB/s,0 kB/s,62.1 kB/s,2.82 GB/s,0 kB/s,4.53 GB/s,2.82 GB/s,0 kB/s,293 kB/s,4.53 GB/s,0 kB/s,2.82 GB/s
2023-04-02 12:14:30,3.99 GB/s,0 kB/s,0 kB/s,2.77 GB/s,0 kB/s,4.00 GB/s,2.77 GB/s,0 kB/s,0 kB/s,4.00 GB/s,0 kB/s,2.77 GB/s
2023-04-02 12:14:40,4.63 GB/s,0 kB/s,11.2 kB/s,2.64 GB/s,0 kB/s,4.64 GB/s,2.64 GB/s,0 kB/s,5.40 kB/s,4.64 GB/s,0 kB/s,2.64 GB/s
2023-04-02 12:14:50,3.60 GB/s,0 kB/s,18.3 kB/s,2.26 GB/s,0 kB/s,3.61 GB/s,2.26 GB/s,0 kB/s,19.1 kB/s,3.61 GB/s,0 kB/s,2.26 GB/s
2023-04-02 12:15:00,2.75 GB/s,0 kB/s,34 kB/s,1.75 GB/s,0 kB/s,2.76 GB/s,1.75 GB/s,0 kB/s,21.6 kB/s,2.76 GB/s,0 kB/s,1.75 GB/s
2023-04-02 12:15:10,3.64 GB/s,0 kB/s,0 kB/s,2.33 GB/s,0 kB/s,3.65 GB/s,2.33 GB/s,0 kB/s,0 kB/s,3.65 GB/s,0 kB/s,2.33 GB/s
2023-04-02 12:15:20,3.23 GB/s,0 kB/s,11.2 kB/s,2.04 GB/s,0 kB/s,3.24 GB/s,2.04 GB/s,0 kB/s,5.40 kB/s,3.24 GB/s,0 kB/s,2.04 GB/s
2023-04-02 12:15:30,4.80 GB/s,0 kB/s,17.2 kB/s,3.04 GB/s,0 kB/s,4.81 GB/s,3.04 GB/s,0 kB/s,9.60 kB/s,4.82 GB/s,0 kB/s,3.04 GB/s
