sep=,
"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth14c94da receive"
2023-02-08 01:36:00,720 kB/s,0 kB/s,110 kB/s,570 kB/s,0 kB/s,743 kB/s
2023-02-08 01:36:15,584 kB/s,0 kB/s,105 kB/s,468 kB/s,0 kB/s,607 kB/s
2023-02-08 01:36:30,1.04 MB/s,0 kB/s,105 kB/s,822 kB/s,0 kB/s,1.07 MB/s
2023-02-08 01:36:45,747 kB/s,0 kB/s,116 kB/s,601 kB/s,0 kB/s,770 kB/s
2023-02-08 01:37:00,580 kB/s,0 kB/s,116 kB/s,469 kB/s,0 kB/s,601 kB/s
2023-02-08 01:37:15,429 kB/s,0 kB/s,110 kB/s,354 kB/s,0 kB/s,452 kB/s
2023-02-08 01:37:30,616 kB/s,0 kB/s,121 kB/s,489 kB/s,0 kB/s,638 kB/s
2023-02-08 01:37:45,937 kB/s,0 kB/s,105 kB/s,737 kB/s,0 kB/s,964 kB/s
2023-02-08 01:38:00,836 kB/s,0 kB/s,125 kB/s,667 kB/s,0 kB/s,858 kB/s
2023-02-08 01:38:15,894 kB/s,0 kB/s,110 kB/s,702 kB/s,0 kB/s,920 kB/s
2023-02-08 01:38:30,196 kB/s,0 kB/s,52.6 kB/s,185 kB/s,0 kB/s,207 kB/s
2023-02-08 01:38:45,510 kB/s,0 kB/s,89.1 kB/s,428 kB/s,0 kB/s,525 kB/s
2023-02-08 01:39:00,284 kB/s,0 kB/s,71.3 kB/s,255 kB/s,0 kB/s,294 kB/s
2023-02-08 01:39:15,566 kB/s,0 kB/s,58.1 kB/s,485 kB/s,0 kB/s,580 kB/s
2023-02-08 01:39:30,400 kB/s,0 kB/s,58.1 kB/s,337 kB/s,0 kB/s,413 kB/s
2023-02-08 01:39:45,8 kB/s,0 kB/s,5.60 kB/s,54.9 kB/s,0 kB/s,10.8 kB/s
2023-02-08 01:40:00,190 kB/s,0 kB/s,69.1 kB/s,179 kB/s,0 kB/s,201 kB/s
2023-02-08 01:40:15,558 kB/s,0 kB/s,69.1 kB/s,464 kB/s,0 kB/s,573 kB/s
2023-02-08 01:40:30,2.80 kB/s,0 kB/s,28 kB/s,48.3 kB/s,0 kB/s,4.20 kB/s
2023-02-08 01:40:45,561 kB/s,0 kB/s,63.5 kB/s,462 kB/s,0 kB/s,578 kB/s
2023-02-08 01:41:00,559 kB/s,0 kB/s,52.3 kB/s,464 kB/s,0 kB/s,573 kB/s
2023-02-08 01:41:15,455 kB/s,0 kB/s,52.3 kB/s,385 kB/s,0 kB/s,469 kB/s
