"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit","TimeToFail"
"2023-04-16 00:50:20","1681581020000","0%","0%","0%","0.800%","0.400%","1.50%","2.80%","376 MiB","31.1 MiB","405 MiB","158 MiB","602 MB/s","0 kB/s","0 kB/s","380 MB/s","0 kB/s","604 MB/s","380 MB/s","0 kB/s","0 kB/s","605 MB/s","0 kB/s","380 MB/s","1043946"
"2023-04-16 00:50:30","1681581030000","0%","0%","0%","0.200%","0.100%","0.100%","1.70%","374 MiB","31.1 MiB","405 MiB","160 MiB","508 MB/s","0 kB/s","0 kB/s","311 MB/s","0 kB/s","509 MB/s","311 MB/s","0 kB/s","0 kB/s","510 MB/s","0 kB/s","311 MB/s","1033946"
"2023-04-16 00:50:40","1681581040000","0%","0%","0%","1.000%","0.600%","1.20%","1.40%","374 MiB","31.1 MiB","405 MiB","160 MiB","77.8 MB/s","0 kB/s","23.2 kB/s","70.1 MB/s","0 kB/s","80.3 MB/s","70.1 MB/s","0 kB/s","20.4 kB/s","81.2 MB/s","0 kB/s","70.1 MB/s","1023946"
"2023-04-16 00:50:50","1681581050000","0%","0%","0%","2.50%","1.30%","3.90%","4.50%","374 MiB","31.1 MiB","405 MiB","160 MiB","202 MB/s","0 kB/s","0 kB/s","191 MB/s","0 kB/s","209 MB/s","191 MB/s","0 kB/s","0 kB/s","209 MB/s","0 kB/s","191 MB/s","1013946"
"2023-04-16 00:51:00","1681581060000","0%","0%","0%","0.500%","0.400%","1.20%","2.40%","374 MiB","31.1 MiB","405 MiB","160 MiB","580 MB/s","0 kB/s","0 kB/s","367 MB/s","0 kB/s","582 MB/s","367 MB/s","0 kB/s","0 kB/s","583 MB/s","0 kB/s","367 MB/s","1003946"
"2023-04-16 00:51:10","1681581070000","0%","0%","0%","0.200%","0.200%","0.500%","2.70%","374 MiB","31.1 MiB","405 MiB","160 MiB","890 MB/s","0 kB/s","0 kB/s","549 MB/s","0 kB/s","891 MB/s","549 MB/s","0 kB/s","0 kB/s","892 MB/s","0 kB/s","549 MB/s","993946"
"2023-04-16 00:51:20","1681581080000","0%","0%","0%","0.200%","0.1000%","0.200%","1.20%","374 MiB","31.1 MiB","405 MiB","160 MiB","273 MB/s","0 kB/s","0 kB/s","304 MB/s","0 kB/s","273 MB/s","304 MB/s","0 kB/s","0 kB/s","274 MB/s","0 kB/s","304 MB/s","983946"
"2023-04-16 00:51:30","1681581090000","0%","0%","0%","0.100%","0.100%","0.400%","2.30%","374 MiB","31.1 MiB","405 MiB","160 MiB","1.21 GB/s","0 kB/s","0 kB/s","605 MB/s","0 kB/s","1.21 GB/s","605 MB/s","0 kB/s","0 kB/s","1.21 GB/s","0 kB/s","605 MB/s","973946"
"2023-04-16 00:51:40","1681581100000","0%","0%","0%","0.300%","0.600%","0.700%","3.30%","374 MiB","31.1 MiB","405 MiB","160 MiB","1.04 GB/s","0 kB/s","17.4 kB/s","652 MB/s","0 kB/s","1.04 GB/s","652 MB/s","0 kB/s","15 kB/s","1.04 GB/s","0 kB/s","652 MB/s","963946"
"2023-04-16 00:51:50","1681581110000","0%","0%","0%","0.300%","0.200%","0.800%","2.30%","374 MiB","31.1 MiB","405 MiB","160 MiB","588 MB/s","0 kB/s","67.7 kB/s","361 MB/s","0 kB/s","590 MB/s","361 MB/s","0 kB/s","303 kB/s","590 MB/s","0 kB/s","361 MB/s","953946"
"2023-04-16 00:52:00","1681581120000","0%","0%","0%","1.000%","0.500%","1.60%","2.50%","382 MiB","31.1 MiB","405 MiB","152 MiB","550 MB/s","0 kB/s","112 kB/s","359 MB/s","0 kB/s","553 MB/s","359 MB/s","0 kB/s","109 kB/s","554 MB/s","0 kB/s","359 MB/s","943946"
"2023-04-16 00:52:10","1681581130000","0%","0%","0%","0.300%","0.300%","0.600%","1.70%","382 MiB","31.1 MiB","405 MiB","152 MiB","495 MB/s","0 kB/s","0 kB/s","324 MB/s","0 kB/s","496 MB/s","324 MB/s","0 kB/s","0 kB/s","497 MB/s","0 kB/s","324 MB/s","933946"
"2023-04-16 00:52:20","1681581140000","0%","0%","0%","1.60%","1.30%","2.10%","2.80%","382 MiB","31.1 MiB","405 MiB","152 MiB","149 MB/s","0 kB/s","5.60 kB/s","119 MB/s","0 kB/s","154 MB/s","118 MB/s","0 kB/s","5.40 kB/s","155 MB/s","0 kB/s","118 MB/s","923946"
"2023-04-16 00:52:30","1681581150000","0%","0%","0%","0%","0.200%","0.100%","0.100%","382 MiB","31.1 MiB","405 MiB","152 MiB","4.51 MB/s","0 kB/s","5.60 kB/s","2.95 MB/s","0 kB/s","4.54 MB/s","2.90 MB/s","0 kB/s","5.40 kB/s","5.50 MB/s","0 kB/s","2.90 MB/s","913946"
"2023-04-16 00:52:40","1681581160000","0%","0%","0%","0.700%","0.700%","0.700%","1.30%","375 MiB","31.1 MiB","405 MiB","158 MiB","61.6 MB/s","0 kB/s","11.6 kB/s","55.8 MB/s","0 kB/s","63.6 MB/s","55.7 MB/s","0 kB/s","10.8 kB/s","64.5 MB/s","0 kB/s","55.7 MB/s","903946"
"2023-04-16 00:52:50","1681581170000","0%","0%","0%","0.600%","0.100%","0.700%","0.700%","375 MiB","31.1 MiB","405 MiB","158 MiB","40.7 MB/s","0 kB/s","5.80 kB/s","36.8 MB/s","0 kB/s","42.1 MB/s","36.8 MB/s","0 kB/s","5.40 kB/s","43.0 MB/s","0 kB/s","36.8 MB/s","893946"
"2023-04-16 00:53:00","1681581180000","0%","0%","0%","0.600%","0.400%","1.30%","1.20%","375 MiB","31.1 MiB","405 MiB","158 MiB","79.0 MB/s","0 kB/s","12 kB/s","72.1 MB/s","0 kB/s","81.6 MB/s","72.0 MB/s","0 kB/s","8.40 kB/s","82.5 MB/s","0 kB/s","72.0 MB/s","883946"
"2023-04-16 00:53:10","1681581190000","0%","0%","0%","0%","0%","0.1000%","0.300%","375 MiB","31.1 MiB","405 MiB","158 MiB","415 kB/s","0 kB/s","11.4 kB/s","338 kB/s","0 kB/s","424 kB/s","283 kB/s","0 kB/s","10.8 kB/s","1.38 MB/s","0 kB/s","283 kB/s","873946"
