sep=,
"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive"
2023-03-24 12:32:00,2.09 GB/s,0 kB/s,22.8 MB/s,1.43 GB/s,0 kB/s,2.10 GB/s
2023-03-24 12:32:15,2.01 GB/s,0 kB/s,26.7 MB/s,1.49 GB/s,0 kB/s,2.02 GB/s
2023-03-24 12:32:30,1.98 GB/s,0 kB/s,23.3 MB/s,1.55 GB/s,0 kB/s,1.99 GB/s
2023-03-24 12:32:45,2.11 GB/s,0 kB/s,25.6 MB/s,1.39 GB/s,0 kB/s,2.12 GB/s
2023-03-24 12:33:00,2.64 GB/s,0 kB/s,33.8 MB/s,1.71 GB/s,0 kB/s,2.65 GB/s
2023-03-24 12:33:15,1.82 GB/s,0 kB/s,26.7 MB/s,1.49 GB/s,0 kB/s,1.83 GB/s
2023-03-24 12:33:30,2.30 GB/s,0 kB/s,22.7 MB/s,1.50 GB/s,0 kB/s,2.31 GB/s
2023-03-24 12:33:45,2.03 GB/s,0 kB/s,23.1 MB/s,1.66 GB/s,0 kB/s,2.03 GB/s
2023-03-24 12:34:00,2.28 GB/s,0 kB/s,21.6 MB/s,1.82 GB/s,0 kB/s,2.29 GB/s
2023-03-24 12:34:15,2.08 GB/s,0 kB/s,22.9 MB/s,1.33 GB/s,0 kB/s,2.09 GB/s
2023-03-24 12:34:30,2.33 GB/s,0 kB/s,29.5 MB/s,1.47 GB/s,0 kB/s,2.34 GB/s
2023-03-24 12:34:45,2.27 GB/s,0 kB/s,24.9 MB/s,1.80 GB/s,0 kB/s,2.28 GB/s
2023-03-24 12:35:00,2.02 GB/s,0 kB/s,21.8 MB/s,1.72 GB/s,0 kB/s,2.03 GB/s
2023-03-24 12:35:15,2.26 GB/s,0 kB/s,27.0 MB/s,1.38 GB/s,0 kB/s,2.26 GB/s
2023-03-24 12:35:30,2.28 GB/s,0 kB/s,24.1 MB/s,1.54 GB/s,0 kB/s,2.29 GB/s
2023-03-24 12:35:45,2.96 GB/s,0 kB/s,34.3 MB/s,2.74 GB/s,0 kB/s,2.97 GB/s
2023-03-24 12:36:00,11.6 MB/s,0 kB/s,2.34 MB/s,844 MB/s,0 kB/s,13.8 MB/s
2023-03-24 12:36:15,9.36 MB/s,0 kB/s,2.24 MB/s,337 MB/s,0 kB/s,11.0 MB/s
2023-03-24 12:36:30,9.68 MB/s,0 kB/s,2.24 MB/s,284 MB/s,0 kB/s,11.4 MB/s
2023-03-24 12:36:45,1.52 GB/s,0 kB/s,14.1 MB/s,2.02 GB/s,0 kB/s,1.53 GB/s
2023-03-24 12:37:00,3.47 GB/s,0 kB/s,36.8 MB/s,2.48 GB/s,0 kB/s,3.48 GB/s
2023-03-24 12:37:15,3.48 GB/s,0 kB/s,42.9 MB/s,2.51 GB/s,0 kB/s,3.49 GB/s
2023-03-24 12:37:30,3.39 GB/s,0 kB/s,37.8 MB/s,2.42 GB/s,0 kB/s,3.40 GB/s
2023-03-24 12:37:45,3.60 GB/s,0 kB/s,44.0 MB/s,2.38 GB/s,0 kB/s,3.62 GB/s
2023-03-24 12:38:00,3.43 GB/s,0 kB/s,39.7 MB/s,2.50 GB/s,0 kB/s,3.45 GB/s
2023-03-24 12:38:15,3.51 GB/s,0 kB/s,36.0 MB/s,2.21 GB/s,0 kB/s,3.53 GB/s
2023-03-24 12:38:30,3.29 GB/s,0 kB/s,38.5 MB/s,2.38 GB/s,0 kB/s,3.31 GB/s
2023-03-24 12:38:45,3.53 GB/s,0 kB/s,35.6 MB/s,2.56 GB/s,0 kB/s,3.54 GB/s
2023-03-24 12:39:00,3.87 GB/s,0 kB/s,40.9 MB/s,2.65 GB/s,0 kB/s,3.88 GB/s
2023-03-24 12:39:15,3.30 GB/s,0 kB/s,40.7 MB/s,2.53 GB/s,0 kB/s,3.32 GB/s
2023-03-24 12:39:30,3.47 GB/s,0 kB/s,49.8 MB/s,2.47 GB/s,0 kB/s,3.49 GB/s
